AdJuv,Segment,Diver,DZ1,DZ2,DZ3,DZ4
A,10,BH,SGA,,,
A,10,BH,FISH,UNK,,
A,10,BH,SGA,,,
A,10,JE,DAMG,,,
A,10,JE,SGA,,,
A,10,JE,DAMG,BLE,,
A,10,JE,FUG,,,
A,0,JE,FISH,,,
A,0,JE,BLE,,,
A,0,ML,TLS,,,
A,0,ML,BLE,,,
A,5,ML,FRAG,FISH,BLE,
A,5,ML,FISH,GAST,FRAG,TLS
A,5,ML,PRED,TLS,,
A,0,CA,DAMG,BLE,,
A,0,JC,FISH,,,
A,0,JC,TLS,UNK,,
A,0,JC,FISH,,,
A,5,JC,FISH,BLE,FRAG,
A,5,JC,FISH,PRS,,
A,5,JC,FISH,FRAG,,
A,5,JC,GAST,,,
A,5,DTP,FISH,TLS,GAST,
A,5,DTP,PRED,TLS,,
A,5,DTP,FISH,UNK,,
A,0,DTP,BLE,,,
A,5,TAO,PRED,TLS,,
