DATE_,ISLAND,SITE,Survey_Size
30-Mar-23,SWA,SWA-964,3x20m
30-Mar-23,SWA,SWA-975,3x20m
31-Mar-23,SWA,SWA-995,3x15m
31-Mar-23,SWA,SWA-938,3x20m
1-Apr-23,SWA,SWA-977,3x15m
1-Apr-23,SWA,SWA-989,3x15m
3-Apr-23,TAU,TAU-1327,3x15m
3-Apr-23,TAU,TAU-1306,3x20m
3-Apr-23,TAU,TAU-1294,3x20m
4-Apr-23,ROS,ROS-5197,3x20m
4-Apr-23,ROS,ROS-5250,3x15m
4-Apr-23,ROS,ROS-5229,3x20m
5-Apr-23,ROS,ROS-5248,3x15m
5-Apr-23,ROS,ROS-5198,3x20m
5-Apr-23,ROS,ROS-5225,3x20m
6-Apr-23,OFU,OFU-1359,3x15m
6-Apr-23,OFU,OFU-1340,3x20m
6-Apr-23,OFU,OFU-1342,3x20m
6-Apr-23,OFU,OFU-1324,3x15m
6-Apr-23,OFU,OFU-1322,3x20m
7-Apr-23,TAU,TAU-1321,3x15m
7-Apr-23,TAU,TAU-1341,3x20m
7-Apr-23,TAU,TAU-1322,3x15m
8-Apr-23,TUT,TUT-5961,3x15m
8-Apr-23,TUT,TUT-5876,3x20m
10-Apr-23,TUT,TUT-5997,3x15m
10-Apr-23,TUT,TUT-5690,3x20m
11-Apr-23,TUT,TUT-5930,3x20m
18-Apr-23,TUT,TUT-5795,3x20m
3/15/2023,HOW,HOW-1090,3x20m
3/16/2023,HOW,HOW-1103,3x13m
3/16/2023,HOW,HOW-1100,3x13m
3/16/2023,HOW,HOW-1094,3x20m
3/16/2023,HOW,HOW-1070,3x20m
3/16/2023,HOW,HOW-1096,3x20m
3/16/2023,HOW,HOW-1076,3x20m
3/17/2023,BAK,BAK-2088,3x13m
3/17/2023,BAK,BAK-2041,3x20m
3/17/2023,BAK,BAK-2052,3x20m
3/17/2023,BAK,BAK-2075,3x13m
3/18/2023,BAK,BAK-2084,3x13m
3/18/2023,BAK,BAK-2086,3x20m
3/18/2023,BAK,BAK-2046,3x20m
3/19/2023,BAK,BAK-2040,3x20m
3/19/2023,BAK,BAK-2067,3x13m
3/19/2023,BAK,BAK-2042,3x20m
5/2/2023,BAK,BAK-2050,3x20m
5/2/2023,BAK,BAK-2031,3x20m
5/2/2023,BAK,BAK-2085,3x20m
5/3/2023,BAK,BAK-2070,3x15m
5/3/2023,BAK,BAK-2059,3x20m
5/3/2023,BAK,BAK-2035,3x20m
5/3/2023,BAK,BAK-2033,3x20m
5/4/2023,HOW,HOW-1067,3x20m
5/4/2023,HOW,HOW-1079,3x20m
5/4/2023,HOW,HOW-1085,3x20m
5/4/2023,HOW,HOW-1099,3x15m
5/4/2023,HOW,HOW-1098,3x20m
5/4/2023,HOW,HOW-1066,3x20m
5/6/2023,HOW,HOW-1065,3x20m
5/6/2023,HOW,HOW-1058,3x20m
5/6/2023,HOW,HOW-1102,3x15m
5/6/2023,HOW,HOW-1055,3x20m
5/6/2023,HOW,HOW-1072,3x20m
5/7/2023,HOW,HOW-1074,3x20m
8-Jul-23,TUT,TUT-5351,3x20m
21-Jul-23,TUT,TUT-5315,3x20m
24-Jul-23,ROS,ROS-5131,3x20m
24-Jul-23,ROS,ROS-5133,3x20m
25-Jul-23,ROS,ROS-5167,3x13m
25-Jul-23,ROS,ROS-5166,3x13m
27-Jul-23,TUT,TUT-5658,3x13m
27-Jul-23,TUT,TUT-5425,3x20m
27-Jul-23,TUT,TUT-5322,3x13m
27-Jul-23,TUT,TUT-5313,3x20m
