"","ISLAND","SITE","Mosaic_Issues","Segments_Annotated","Rugosity","Segments_inGD"
"1","Hawaii","HAW-04237","BO",4,"med",NA
"2","Hawaii","HAW-03441","BO",4,"high",NA
"3","Hawaii","HAW-04247","MURK",3,"high",NA
"4","Hawaii","HAW-04208","BO",4,"high",NA
"5","Hawaii","HAW-04224","BO",4,"high",NA
"6","Kahoolawe","KAH-00632","",4,"med",NA
"7","Kauai","KAU-02166","BO",4,"high",NA
"8","Lanai","LAN-01795","PCOM",3,"low",NA
"9","Maui","MAI-02532","",4,"med",NA
"10","Maui","MAI-02534","",4,"med",NA
"11","Molokai","MOL-02291","",3,"med",NA
"12","Molokai","MOL-02276","RUG_BLUR",4,"med",NA
"13","Molokai","MOL-02242","BO",4,"high",NA
"14","Molokai","MOL-02260","PCOM_BLUR_COLOR",4,"high",NA
"15","Molokai","MOL-02266","MCAP",3,"high",NA
